Sr. No,Entity Name,Website of RE,Entity Type,Name of the DLA,Name of the owner of DLA (Self-owned/ name of LSP in case DLA is of LSP),Available on (Website/ Name of app store),Link to DLA
2092,,readyleasings.com,NBFC,Suvron,Shantilekh Global Technology Private Limited,App Store,to be published
2093,,readyleasings.com,NBFC,Suvron,Shantilekh Global Technology Private Limited,Google Play,to be published
2094,,readyleasings.com,NBFC,Suvron,Shantilekh Global Technology Private Limited,Website,suvron.in
2095,REFYNE FINANCE PRIVATE LIMITED,https://www.refynefinance.com/,NBFC,Refyne Tech Private Limited,Refyne Tech Private Limited,Refyne,https://www.refyne.co.in/
2096,REGAL ENTERTAINMENT AND CONSULTANTS LIMITED (FORMERLY REGAL FINANCE & CONSULTANTS LTD),https://www.regal-consultants.com/,NBFC,Micromoney,Varrenyam Infotech Private Limited,yes Both,https://play.google.com/store/apps/details?id=com.micromoney.micro_money&hl=en https://micromoney.in/
2097,REGENCY FINCORP LIMITED,https://regencyfincorp.co.in/,NBFC,CASH MY SALARY,SELF OWNED,WEBSITE,https://cashmysalary.com/
2098,,https://regencyfincorp.co.in/,NBFC,JET FUND,SELF OWNED,WEBSITE,https://jetfund.in/
2099,RESILIENT FINANCE PRIVATE LIMITED  (EARLIER KNOWN AS TRILLIONLOANS FINTECH PRIVATE LIMITED),https://www.bharatpecapital.com/,NBFC,BharatPe,Operated by Resilient Digi Services Private Limited,Android Google Play Store /iOS - App Store,iOs - https://apps.apple.com/in/app/bharatpe-for-business/id1329385873    Android - https://play.google.com/store/apps/details?id=com.bharatpe.app&hl=en_IN&pli=1
2100,,https://www.bharatpecapital.com/,NBFC,BharatPe for Business,Operated by Resilient Digi Services Private Limited,Android Google Play Store /iOS - App Store,iOs - https://apps.apple.com/in/app/bharatpe-for-business/id1329385873    Android - https://play.google.com/store/apps/details?id=com.bharatpe.app&hl=en_IN&pli=1
2101,,https://www.bharatpecapital.com/,NBFC,Freo,MWYN Tech Private Limited,Apple Playstore,https://apps.apple.com/in/app/freo-pay-save-borrow/id1588894115
2102,,https://www.bharatpecapital.com/,NBFC,Freo,MWYN Tech Private Limited,Google Playstore,https://play.google.com/store/apps/details?id=com.moneytap.bnpl.app&hl=en_US&pli=1
2103,,https://www.bharatpecapital.com/,NBFC,Freo,MWYN Tech Private Limited,Website,https://freo.money/
2104,,https://www.bharatpecapital.com/,NBFC,Fundly,Ardour Analytics Private Limited,Android Google Play Store/iOS app store, https://apps.apple.com/in/app/fundly/id6746642092    Android - https://play.google.com/store/apps/details?id=com.fundly.fundly&hl=en_IN
2105,,https://www.bharatpecapital.com/,NBFC,KarmaLife,OnionLife Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=in.onionlife.karmalife&hl=en_IN
2106,,https://www.bharatpecapital.com/,NBFC,Mobikwik,ONE MOBIKWIK SYSTEMS LIMITED,Android Google Play Store/iOS app store, https://apps.apple.com/in/app/mobikwik-bhim-upi-wallet/id600002523Play Store :- https://play.google.com/store/apps/details?id=com.mobikwik_new&hl=en
2107,,https://www.bharatpecapital.com/,NBFC,Moneyview,Moneyview Limited (formerly known as Moneyview Private Limited and Whizdm Innovations Pvt Limited),Google Play Store,https://play.google.com/store/apps/details?id=com.whizdm.moneyview.loans&pcampaignid=web_share
2108,,https://www.bharatpecapital.com/,NBFC,Moneyview,Moneyview Limited (formerly known as Moneyview Private Limited and Whizdm Innovations Pvt Limited),iOS App Store,https://apps.apple.com/in/app/moneyview-loans-credit-cards/id6468976019
2109,,https://www.bharatpecapital.com/,NBFC,Ninja Global Import Export,Ninjacart Services Private Limited,Android Google Play Store/iOS app store,"Android - https://play.google.com/store/apps/details?id=com.ninja.ninjaglobal&pli=1, iOS - https://apps.apple.com/in/app/ninja-global-import-export/id1618448963"
2110,,https://www.bharatpecapital.com/,NBFC,Ninjamandi,Ninjacart Services Private Limited,Android Google Play Store/iOS app store,"Android - https://play.google.com/store/apps/details?id=com.nc.trader , iOS - https://apps.apple.com/in/app/ninja-app/id1626963855"
2111,,https://www.bharatpecapital.com/,NBFC,NIRA Instant Personal Loan App,Shuhari Tech Ventures Private Limited,Android Google Play Store,https://play.google.com/store/apps/details?id=com.nirafinance.customer
2112,,https://www.bharatpecapital.com/,NBFC,NYE,RAPIPAY FINTECH PVT LTD,Android Google Play Store/iOS app store, https://play.google.com/store/apps/details?id=com.rapipay.nyeApp Store - https://apps.apple.com/in/app/nye-money/id1662431820
2113,,https://www.bharatpecapital.com/,NBFC,Savein Money,SaveIN Fintech Private Limited,Website ,https://savein.money
2114,RESPO FINANCIAL CAPITAL PRIVATE LIMITED,https://respo.co.in/,NBFC,Aryse Fin,Vibhuprada Service Pvt Ltd,Website,https://www.arysefin.com/
2115,,https://respo.co.in/,NBFC,Bahi Khata Loans,Ninjamonk Proptech Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.bahikhata&hl=en_IN
2116,,https://respo.co.in/,NBFC,Bahi Khata Loans,Ninjamonk Proptech Pvt Ltd,Website,https://bahi-khata.com/
2117,,https://respo.co.in/,NBFC,Buddy Loans,BValue Services Private limited,Appstore,https://apps.apple.com/in/app/buddy-loan-personal-loan-app/id1552911697
2118,,https://respo.co.in/,NBFC,Buddy Loans,BValue Services Private limited,Playstore,https://play.google.com/store/apps/details?id=com.buddyloan.vls&hl=en_IN&gl=IN
2119,,https://respo.co.in/,NBFC,Buddy Loans,BValue Services Private limited,Website,https://www.buddyloan.com/
2120,,https://respo.co.in/,NBFC,CarePal,Carepal Fintech Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=dev.infonet.carepal&hl=en
2121,,https://respo.co.in/,NBFC,CarePal,Carepal Fintech Pvt Ltd,Website,https://carepalgroup.com/
2122,,https://respo.co.in/,NBFC,Carepay,Carecoin Technologies Pvt Ltd,Appstore,https://apps.apple.com/in/app/carepay/id6446045879
2123,,https://respo.co.in/,NBFC,Carepay,Carecoin Technologies Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.bitsoft.carepay&hl=en-US
2124,,https://respo.co.in/,NBFC,Carepay,Carecoin Technologies Pvt Ltd,Website,https://www.carepay.com/
2125,,https://respo.co.in/,NBFC,Cash By Cred,Dreamplug Technologies Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.dreamplug.kyoto.android
2126,,https://respo.co.in/,NBFC,Cash By Cred,Dreamplug Technologies Pvt Ltd,Website,https://cred.club/
2127,,https://respo.co.in/,NBFC,ClaimFriendy,Claimfriendy Private Limited,Website,https://claimfriendy.com/
2128,,https://respo.co.in/,NBFC,Cready,Switch My Loan Private Limited,Playstore,https://play.google.com/store/apps/details?id=com.creddy.app
2129,,https://respo.co.in/,NBFC,Cready,Switch My Loan Private Limited,Website,https://www.cready.in/
2130,,https://respo.co.in/,NBFC,Credifit,CreditMantri Finserv Private Limited,Playstore,https://play.google.com/store/apps/details?id=com.creditmantri
2131,,https://respo.co.in/,NBFC,Credifit,CreditMantri Finserv Private Limited,Website,https://www.creditmantri.com/
2132,,https://respo.co.in/,NBFC,Easypay,Easy Pay Limited,Appstore,https://apps.apple.com/in/app/easy-pay-payment-credit/id6748067328
2133,,https://respo.co.in/,NBFC,Easypay,Easy Pay Limited,Playstore,https://play.google.com/store/apps/details?id=aepsapp.paisanikal.com.aepsandroid&hl=en-US
2134,,https://respo.co.in/,NBFC,Easypay,Easy Pay Limited,Website,https://www.easypay.in/about.html
2135,,https://respo.co.in/,NBFC,Finnova,Volo Health Services Pvt Ltd,Appstore,https://apps.apple.com/in/app/volo-wallet/id1660906209
2136,,https://respo.co.in/,NBFC,Finnova,Volo Health Services Pvt Ltd,Playstore,Google Play Link
2137,,https://respo.co.in/,NBFC,Finnova,Volo Health Services Pvt Ltd,Website,https://www.volohealth.in/
2138,,https://respo.co.in/,NBFC,Instacred,Flexmoney Technologies Pvt Ltd,Appstore,https://apps.apple.com/in/app/flexmoney/id6445949572
2139,,https://respo.co.in/,NBFC,Instacred,Flexmoney Technologies Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.bc.flexmoney&hl=en
2140,,https://respo.co.in/,NBFC,Instacred,Flexmoney Technologies Pvt Ltd,Website,https://www.flexmoney.in/
2141,,https://respo.co.in/,NBFC,Jio Finance,Jio Financial Services Private Limited,Appstore,https://apps.apple.com/in/app/jiofinance/id6469583963
2142,,https://respo.co.in/,NBFC,Jio Finance,Jio Financial Services Private Limited,Playstore,https://play.google.com/store/apps/details?id=in.jfs.jiofinance&hl=en_IN
2143,,https://respo.co.in/,NBFC,Jio Finance,Jio Financial Services Private Limited,Website,https://www.jiocredit.in/ 
2144,,https://respo.co.in/,NBFC,Juspay-Hypercredit,Juspay Technologies Pvt Ltd,Appstore,https://apps.apple.com/in/app/juspay-portal/id6740138129
2145,,https://respo.co.in/,NBFC,Juspay-Hypercredit,Juspay Technologies Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=io.juspay.juspayportal&hl=en-US
2146,,https://respo.co.in/,NBFC,Juspay-Hypercredit,Juspay Technologies Pvt Ltd,Website,https://juspay.io/in
2147,,https://respo.co.in/,NBFC,Medscred,Empower Fintech Private Limited,Website,https://www.medscred.com/index.html
2148,,https://respo.co.in/,NBFC,Money Control,Moneycontrol Dot Com India Limited,Appstore,https://apps.apple.com/us/app/moneycontrol-markets-news/id408654600
2149,,https://respo.co.in/,NBFC,Money Control,Moneycontrol Dot Com India Limited,Playstore,https://play.google.com/store/apps/details?id=com.divum.MoneyControl&hl=en_IN
2150,,https://respo.co.in/,NBFC,Money Control,Moneycontrol Dot Com India Limited,Website,https://www.moneycontrolpay.com/
2151,,https://respo.co.in/,NBFC,Muthoot FinCorp ONE,Muthoot Fincorp Limited,Appstore,https://apps.apple.com/in/app/muthoot-fincorp-one/id6451879603
2152,,https://respo.co.in/,NBFC,Muthoot FinCorp ONE,Muthoot Fincorp Limited,Playstore,https://play.google.com/store/apps/details?id=com.muthootfincorpone.superapp&pli=1
2153,,https://respo.co.in/,NBFC,Muthoot FinCorp ONE,Muthoot Fincorp Limited,Website,https://muthootfincorp.com/
2154,,https://respo.co.in/,NBFC,Nobroker,Nobroker Technologies Solutions Pvt Ltd,Appstore,https://apps.apple.com/in/app/nobroker-rent-buy-sell-flats/id1200507100
2155,,https://respo.co.in/,NBFC,Nobroker,Nobroker Technologies Solutions Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.nobroker.app&hl=en-GB&gl=IN
2156,,https://respo.co.in/,NBFC,Nobroker,Nobroker Technologies Solutions Pvt Ltd,Website,https://www.nobroker.in/
2157,,https://respo.co.in/,NBFC,Ola Money,OLA FINANCIAL SERVICES PRIVATE LIMITED,Appstore,https://apps.apple.com/in/app/ola-money-wallet-payments/id1064900603
2158,,https://respo.co.in/,NBFC,Ola Money,OLA FINANCIAL SERVICES PRIVATE LIMITED,Playstore,https://play.google.com/store/apps/details?id=com.olacabs.olamoney&hl=en-US
2159,,https://respo.co.in/,NBFC,Ola Money,OLA FINANCIAL SERVICES PRIVATE LIMITED,Website,https://www.olamoney.com/
2160,,https://respo.co.in/,NBFC,Paisabazaar,Paisabazaar Marketing And Consulting Private Limited,Appstore,https://apps.apple.com/in/app/paisabazaar-credit-score-loan/id1029403201
2161,,https://respo.co.in/,NBFC,Paisabazaar,Paisabazaar Marketing And Consulting Private Limited,Playstore,https://play.google.com/store/apps/details?id=com.paisabazaar
2162,,https://respo.co.in/,NBFC,Paisabazaar,Paisabazaar Marketing And Consulting Private Limited,Website,https://www.paisabazaar.com/about-us
2163,,https://respo.co.in/,NBFC,Prefr,Dreamplug Technologies Pvt Ltd,Appstore,https://apps.apple.com/in/app/prefr-personal-loan-app-india/id6758143425
2164,,https://respo.co.in/,NBFC,Prefr,Dreamplug Technologies Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.prefr.credit&gl=in
2165,,https://respo.co.in/,NBFC,Prefr,Dreamplug Technologies Pvt Ltd,Website,https://prefr.com/
2166,,https://respo.co.in/,NBFC,Shopse,Newbazaar Technologies Pvt Ltd,Appstore,https://apps.apple.com/in/app/shopse-shop-now-pay-later/id1501675725
2167,,https://respo.co.in/,NBFC,Shopse,Newbazaar Technologies Pvt Ltd,Playstore,https://play.google.com/store/apps/details?id=com.shopse.consumer&hl=en-US
2168,,https://respo.co.in/,NBFC,Shopse,Newbazaar Technologies Pvt Ltd,Website,https://www.getshopse.com/
2169,,https://respo.co.in/,NBFC,Tata Neu,Tata Digital Private Limited,Appstore,https://apps.apple.com/in/app/tata-neu-upi-cards-bills/id1584669293
2170,,https://respo.co.in/,NBFC,Tata Neu,Tata Digital Private Limited,Playstore,https://play.google.com/store/apps/details?id=com.tatadigital.tcp&hl=en_IN
2171,,https://respo.co.in/,NBFC,Tata Neu,Tata Digital Private Limited,Website,https://www.tataneu.com/v2/finance
2172,,https://respo.co.in/,NBFC,Zype,Easy Platform Services Pvt Ltd ,Appstore,https://apps.apple.com/in/app/zype-instant-personal-loan-app/id6449256371
2173,,https://respo.co.in/,NBFC,Zype,Easy Platform Services Pvt Ltd ,Indus Store,https://www.indusappstore.com/apps/finance/zype/com.zype.mobile/?page=details&id=com.zype.mobile
2174,,https://respo.co.in/,NBFC,Zype,Easy Platform Services Pvt Ltd ,Playstore,https://play.google.com/store/apps/details?id=com.zype.mobile&pcampaignid=web_share
2175,,https://respo.co.in/,NBFC,Zype,Easy Platform Services Pvt Ltd ,Website,https://www.getzype.com/
2176,,https://respo.co.in/,NBFC,Zype,Easy Platform Services Pvt Ltd ,Xiaomi Store,https://global.app.mi.com/details?lo=IN&la=en&id=com.zype.mobile
2177,RICHARD TIECON PVT. LTD.,https://www.richardtiecon.com,NBFC,Rinn,Rinncrest Technologies Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.rinncrestmobile
2178,RICHMAN FINCAP LIMITED,https://www.salarychampion.com/,NBFC,SALARY CHAMPION,SELF OWNED,WEBSITE ONLY,https://www.salarychampion.com/
2179,R.K. BANSAL FINANCE LTD.,www.rkbfinance.in,NBFC,Kanak Loans,B.R. Silver,Google Play store,https://play.google.com/store/apps/details?id=com.kanakloans
2180,,www.rkbfinance.in,NBFC,Rupeeq.com,Intuino Business Consulting India Private Limited( Self-Owned),website,www.rupeeq.com
2181,,www.rkbfinance.in,NBFC,Samridhya,SAMRIDHYA INNOVATIONS PRIVATE LTD,App Store,https://apps.apple.com/in/app/samridhya/id6745554387
2182,,www.rkbfinance.in,NBFC,Samridhya,SAMRIDHYA INNOVATIONS PRIVATE LTD,Google Play Store,https://play.google.com/store/apps/details?id=samridh.consumer&hl=en_IN
2183,,www.rkbfinance.in,NBFC,ScoreLoan,Capora Fintech Private Limited,Web Android IOS,https://scoreloan.app/ https://play.google.com/store/apps/details?id=com.capora.scoreloan  https://apps.apple.com/us/app/scoreloan-your-growth-partner/id6776628430
2184,RKD FINANCIAL SERVICES LTD.,rkdfsl@rediffmail.com,NBFC,EasyDhan,Self-owned,EasyDhan,easydhan.com
2185,ROCKLAND FINSTOCK LIMITED,https://www.rocklandfinstock.com/,NBFC,WePaisa,SmartCred Mantra Private Limited,Google Play,https://play.google.com/store/apps/details?id=com.wepaisa.android
2186,,https://www.rocklandfinstock.com/,NBFC,WePaisa,SmartCred Mantra Private Limited,Website,www.wepaisa.com
2187,RULOANS FINANCIAL SERVICES PVT LTD,https://www.ruloansfinancial.com/,NBFC,Payme,Huey Tech Limited,https://www.paymeindia.in/  App Store:  IOS And Android,IOS: https://apps.apple.com/in/app/payme-personal-loan-app/id1282142711  Android:  https://play.google.com/store/apps/details?id=io.attabot.app.paymeindia&pcampaignid=web_share
2188,,https://www.ruloansfinancial.com/,NBFC,Rapid Money,Moneytime Technology Services Private Limited.,www.rapidmoney.in,https://play.google.com/store/apps/details?id=com.rapid_money
2189,RUPEEK CAPITAL PRIVATE LIMITED,https://www.rupeekcapital.com/,NBFC,Online Gold Loan : Rupeek,Rupeek Fintech Private Limited,Google Play app store,https://play.google.com/store/apps/details?id=com.rupeek.customer&hl=en_IN&pli=1
2190,RUPITOL FINANCE PVT. LTD.,www.rupitol.com,NBFC,SaveIN,SaveIN Fintech Private limited,Website,https://savein.money/
2191,SABRIMALA FINTECH PRIVATE LIMITED,https://sabrimalafintech.com/,NBFC,Loan Nivo,FINOVATEX TECHNOLOGIES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.core.service.safe.cred.link.pro.ncin.app
2192,SAI ROSHNI CAPITAL PRIVATE LIMITED,https://ezfinanz.com,NBFC,Ezfinanz,Self-owned,play store in android phone and app store in iphone,Ezfinanz
2193,,https://ezfinanz.com,NBFC,Ezfinanz,Self-owned,play store in android phone and app store in iphone,Ezfinanz-Business Partner
2194,,https://ezfinanz.com,NBFC,Ezfinanz,Self-owned,portal,https://ezoperations.ezfinanz.com
2195,,https://ezfinanz.com,NBFC,Ezfinanz,Self-owned,Website,https://ezfinanz.com
2196,SAJAN INTERNATIONAL P LTD.,https://www.sajaninternational.com,NBFC,CreditMitra,Samcint Solutins Private Limited,App Store,To be made available once it is live in App store
2197,,https://www.sajaninternational.com,NBFC,CreditMitra,Samcint Solutins Private Limited,Play Store,https://play.google.com/store/apps/details?id=com.creditmitra&hl=en_IN
2198,,https://www.sajaninternational.com,NBFC,CreditMitra,Samcint Solutins Private Limited,Website,https://www.creditmitra.in
2199,SALORA CAPITAL LTD.,https://saloracapital.com/,NBFC,Bachatt,Trusave Fintech Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=app.bachatt.customer
2200,,https://saloracapital.com/,NBFC,Finvolt,Finvolt LLP,Website,https://finvoltindia.com/
2201,,https://saloracapital.com/,NBFC,Fundlelo,Tisya Capital Solutions Private Limited,Website,https://www.fundlelo.com/
2202,,https://saloracapital.com/,NBFC,Fynto,Karmaja Consulting Private Limited,Website,https://fynto.in/
2203,,https://saloracapital.com/,NBFC,Jora Capital,Jora Capital Services Private Limited,Website,https://joracapital.in/
2204,,https://saloracapital.com/,NBFC,Kosam,Kosam Fintech LLP,Website,https://www.kosamfintech.com/
2205,,https://saloracapital.com/,NBFC,Kredtap,Codebrew Innovations Private Limited,Google Play Store,https://play.google.com/store/apps/details?id=com.kredtap.lending
2206,,https://saloracapital.com/,NBFC,Loan Doc,Nexupport Services Private Limited,Website,https://www.loandock.co.in/
2207,,https://saloracapital.com/,NBFC,Loan In Hand,Cashpedia Payment Solutions Private Limited,Website,https://www.loaninhand.com/
2208,,https://saloracapital.com/,NBFC,LoanNCredit,Wistful Finance Private Limited,Website,https://www.loanncredit.com/
2209,,https://saloracapital.com/,NBFC,Loan Prime,Credart Finbiz Solutions Pvt Ltd,Website,https://www.loanprime.in/
2210,,https://saloracapital.com/,NBFC,Paisa on Time,Artaras Technologies Pvt Ltd,Website,https://paisaontime.com/
2211,,https://saloracapital.com/,NBFC,Peday Money,Peday Fintech Private Limited,Website,https://play.google.com/store/apps/details?id=com.PedayMoney&hl=en_IN
2212,,https://saloracapital.com/,NBFC,RupeeGo,CODETHRUST TECHNOLOGIES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.codethrust.rupeego
2213,,https://saloracapital.com/,NBFC,Suprb,Summup Fintech Private Limited,Website,https://play.google.com/store/apps/details?id=in.suprb.app&hl=en_IN
2214,,https://saloracapital.com/,NBFC,The Digital Loan ,Wellroutes Investment Advisory Solutions Private Limited,Website,https://www.thedigitalloans.com/
2215,SAMMAAN CAPITAL LIMITED,https://sammaancapital.com,NBFC,Sammaan Capital: Home Loans,Self-owned,Google Play Store,com.sammaancapital.customers
2216,SAMPATHI CREDITS PRIVATE LIMITED,https://friendloan.in/,NBFC,Bharat Business Loans,SELF,Google Playstore,https://play.google.com/store/apps/details?id=in.bharat.loan
2217,,https://friendloan.in/,NBFC,FriendLoan - 1hr Business Loan,SELF,Google Playstore,https://play.google.com/store/apps/details?id=in.fl.loan
2218,,https://friendloan.in/,NBFC,FriendLoan: Business Loan App,SELF,Google Playstore,https://play.google.com/store/apps/details?id=in.fl.ul.lead
2219,,https://friendloan.in/,NBFC,FriendLoan Partner,SELF,Google Playstore,https://play.google.com/store/apps/details?id=in.fl.partner
2220,,https://friendloan.in/,NBFC,Sampathi Loans,SELF,Google Playstore,https://play.google.com/store/apps/details?id=in.sampathi.loan
2221,SAMPATI SECURITIES LIMITED,https://sampati.co.in/,NBFC,Creditt+,Credify Technologies Private Limited,App Store,https://apps.apple.com/in/app/creditt-personal-loan-app/id1330936066
2222,,https://sampati.co.in/,NBFC,Creditt+,Credify Technologies Private Limited,Website,https://credittnow.com/
2223,SAMRAAT FINLEASE (P) LTD.,https://samraatfinlease.com/,NBFC,FUND ON GO,Self-owned,Website,https://fundongo.com/
2224,,https://samraatfinlease.com/,NBFC,SALARY SEWA,Self-owned,Website,https://www.salarysewa.com/
2225,SARAF CREDIT & PORTFOLIO PVT. LTD.,https://eazypaisa.com,NBFC,eazypaisa.com,SARAF CREDIT AND PORTFOLIO PRIVATE LIMITED,Website,https://eazypaisa.com
2226,SARVAGRAM FINCARE PRIVATE LIMITED,www.sarvagram.com,NBFC,Sarvagram,Sarvagram Solutions Private Limited,App Store,Not Yet Uploaded
2227,SARVOTTAM FINCAP LTD.,Not Available ,NBFC,Two Minutes Loan,Fintech Cloud Private Limited,Website,https://twominutesloan.com/
