app_name,developer_name,regulated_entity,platform,app_url,directory_status,candidate_group,feature_collection_status,notes
WOGOM B2B Marketplace,World Goods Marketplace Private Limited,MUTHOOT FINCORP LIMITED (FORMERLY MUTHOOT DEBT MANAGEMENT SERVICES LTD),Google Play Store,https://play.google.com/store/apps/details?id=com.app.wogom&hl=en_IN,Listed,Verified,Pending,
Angel One,Angel One Limited,ANGEL FINCAP PRIVATE LIMITED,Google Play Store,https://protect.checkpoint.com/v2/r05/___https://play.google.com/store/apps/details?id=com.msf.angelmobile&hl=en_IN___.YXBzMTphbmdlbG9uZTpjOm86MmNmMjI2MTgzMWVhZTM2ZGE1OTMxYzYyNzI5Yjc4ZGE6Nzo0NTNkOjEyMmE1ZDYxZTlhNmE5NmNiYzExODQwODA1NzhlNDMwZDA0MGJiYzc3ZmQ2ODAzN2E2NzQ2OWVjZWJjODE0MTI6dDpGOkY,Listed,Verified,Pending,
Credcashy,TRANSITECH IT SERVICES PRIVATE LIMITED,EVERLIGHT HOLDING PVT LTD,Google Play Store,https://credcashy.com/,Listed,Verified,Pending,
Shriram One App,Shriram Finance Limited,SHRIRAM FINANCE LIMITED (FORMERLY SHRIRAM TRANSPORT FINANCE COMPANY LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.shriram.oneIOS:,Listed,Verified,Pending,
Actoloan,Prakash Chemtex (India) Limited,PRAKASH CHEMTEX (INDIA) LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.actoloan.app.actoloan,Listed,Verified,Pending,
Google Pay: Secure UPI payment App,Google India Digital Services Pvt. Ltd.,BAJAJ FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.google.android.apps.nbu.paisa.user,Listed,Verified,Pending,
Groww Credit App,Billionbrains Garage Ventures Limited,POONAWALLA FINCORP LTD,Google Play Store,https://play.google.com/store/apps/details?id=in.groww.dash,Listed,Verified,Pending,
Tala: Fast & Secure Loan App,TALAZEN FINANCE INDIA PRIVATE LIMITED,TALAZEN FINANCE INDIA PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.com.tala,Listed,Verified,Pending,
SU wallet,S.U.SECURITIES PVT. LTD.,S.U.SECURITIES PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.suwallet.lendspace.solutions,Listed,Verified,Pending,
Spice Money Adhikari AEPS App,Spice Money Limited,UGRO CAPITAL LIMITED (PREVIOUSLY CHOKHANI SECURITIES LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=in.spicemudra&hl=en_IN,Listed,Verified,Pending,
VegaCash: Personal Loan,LUCKY HOLDINGS PVT. LTD.,LUCKY HOLDINGS PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.vegacash.erscsa.czzditwad,Listed,Verified,Pending,
GetitNow,KAPIITAL KAPSLOCK PRIVATE LIMITED,LAKME INVESTMENT & FINANCE LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.kapiital.getitnow,Listed,Verified,Pending,
Rapid Money,Moneytiem Technology Solutions Private Limited,FINTREE FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.rapid_money&hl=en_IN,Listed,Verified,Pending,
ClickmyLoan,F MEC INTERNATIONAL FINANCIAL SERVICES LTD.,F MEC INTERNATIONAL FINANCIAL SERVICES LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.habile.cloudbankin.clickmyloan,Listed,Verified,Pending,
mobiCred,mobiCred,ORICRED FINSERV PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.oricred.mobicred&pcampaignid=web_share,Listed,Verified,Pending,
Smallcase: Stock Investments App,Essential Investment Managers Pvt. Ltd.,BAJAJ FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.smallcase.android&hl=en,Listed,Verified,Pending,
Instant mudra,CHINTAMANI FINLEASE LTD.,CHINTAMANI FINLEASE LTD.,Google Play Store,https://www.instantmudra.com/,Listed,Verified,Pending,
NIRA FINANCE,Shuhari Tech Ventures Pvt Ltd,NIYOGIN FINTECH LIMITED,Google Play Store,https://www.nirafinance.com,Listed,Verified,Pending,
Jupiter,Amica Financial Technologies Private Limited,AMICA FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=money.jupiter,Listed,Verified,Pending,
Anytime Rupee,Pi Credit Services Private Limited,FINAGLE FINANCIAL SERVICES PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.anytimerupee,Listed,Verified,Pending,
Kisan nXt App,NABKISAN Finance Ltd,NABKISAN FINANCE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.nabkisan.krishivikas&hl=en_IN,Listed,Verified,Pending,
ATM Cred,Swastik Finance Limited,AVON MONEY SOLUTION INDIA LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=vexil.infotech.atmcred,Listed,Verified,Pending,
MobiKwik for Business,One Mobikwik Systems Limited,UGRO CAPITAL LIMITED (PREVIOUSLY CHOKHANI SECURITIES LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.mobikwik.business,Listed,Verified,Pending,
SURYALOAN,RAGHAVI FINANCE LIMITED,RAGHAVI FINANCE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.suryaloan.suryaloan&pcampaignid=web_share,Listed,Verified,Pending,
Yenmo- Mutual Funds Loan App,Yenmo Technologies Pvt. Ltd.,BAJAJ FINANCE LTD.,Google Play Store,https://play.google.com/store/search?q=yenmo&c=apps&hl=en,Listed,Verified,Pending,
MyMoneyMantra,MyMoneyMantra Fintech Private Limited,L&T FINANCE LIMITED (FORMERLY L&T FINANCE HOLDINGS LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.mymoneymantra.customer.app&hl=en_IN,Listed,Verified,Pending,
jUMPP,FINFUTECH SOLUTIONS PRIVATE LIMITED,FINVASIA FINANCIAL SERVICES PVT LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.finvasia.jumpp&hl=en_IN,Listed,Verified,Pending,
Kreditzy,Finnovation Tech Solutions Private Limited,KRAZYBEE SERVICES LIMITED (EARLIER KNOWN AS KRAZYBEE SERVICES PRIVATE LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.kreditzy.android,Listed,Verified,Pending,
Olyv (SmartCoin),SmartCoin Financials Private Limited,HARI AND COMPANY INVESTMENTS MADRAS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.rebase.app&pli=1,Listed,Verified,Pending,
Zapcash,Omnistack Innovation Private Limited,WEEKLINE INVESTMENT & TRADING CO. LTD.,Google Play Store,com.zapcash.loan,Listed,Verified,Pending,
Sampathi Loans,SAMPATHI CREDITS PRIVATE LIMITED,SAMPATHI CREDITS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.sampathi.loan,Listed,Verified,Pending,
Loandigit,Credit Wealth Technologies Private Limited,FINTREE FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.loandigit.android,Listed,Verified,Pending,
PocketRupee,PHRENOLOGICAL INFO AUDIT AND APP SOLUTION PRIVATE LIMITED,ALLEN'S HOUSING & FINANCE LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.pocket.rupee.deal,Listed,Verified,Pending,
Ninjamandi,Ninjacart Services Private Limited,RESILIENT FINANCE PRIVATE LIMITED (EARLIER KNOWN AS TRILLIONLOANS FINTECH PRIVATE LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=com.nc.trader,Listed,Verified,Pending,
Salary Flow,DHVIJA FINANCE LIMITED,DHVIJA FINANCE LIMITED (EARLIER KNOWN AS F MEC INTERNATIONAL FINANCIAL SERVICES LTD.),Google Play Store,https://play.google.com/store/apps/details?id=com.salary.flow,Listed,Verified,Pending,
"App Store: Axis Mobile: Pay, Invest & UPI",AXIS BANK LIMITED,AXIS BANK LIMITED,Google Play Store,https://apps.apple.com/in/app/axis-bank-mobile-banking/id699582556,Listed,Verified,Pending,
Svcl Sarthi,S V Creditline Limited,MAS FINANCIAL SERVICES LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.svcl.sarthi,Listed,Verified,Pending,
E- OD/DL against FD/RD(PNB One App),PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Google Play Store,PNB ONE APP,Listed,Verified,Pending,
Online Gold Loan : Rupeek,Rupeek Fintech Private Limited,RUPEEK CAPITAL PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.rupeek.customer&hl=en_IN&pli=1,Listed,Verified,Pending,
Apollo Cash,APOLLO FINVEST (INDIA) LTD.,APOLLO FINVEST (INDIA) LTD.,Google Play Store,https://play.google.com/store/,Listed,Verified,Pending,
RupeeGo,CODETHRUST TECHNOLOGIES PRIVATE LIMITED,SALORA CAPITAL LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.codethrust.rupeego,Listed,Verified,Pending,
FUNDLY,Ardour Analytics Private Limited,KARAMJYOTI SALES (P) LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.fundly.fundly,Listed,Verified,Pending,
RupeeQ,Intuino Business consulting India Private Limited,FDPL FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.rupeeq.app,Listed,Verified,Pending,
GST Sahay,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Google Play Store,https://gstsahay.mypnb.in,Listed,Verified,Pending,
Bajaj Finserv Markets LoanApp,BAJAJ FINSERV DIRECT LIMITED,GODREJ FINANCE LIMITED (OLD NAME ENSEMBLE HOLDINGS & FINANCE LIMITED),Google Play Store,https://play.google.com/store/apps/details?id=in.bajajfinservmarkets.app,Listed,Verified,Pending,
Bharat Khata,GREENIZON AGRITECH CONSULTANCY PRIVATE LIMITED,KUSHAL FINNOVATION CAPITAL PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.bharatkhata.erp&hl=en_IN,Listed,Verified,Pending,
Kreditbuddha,Vimanotech India Private Limited,AVINASH CAPITAL MARKETS PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.vimanotech.kreditbuddha,Listed,Verified,Pending,
Loanmax,LOANMAX ADVISORY LLP,APOLLO FINVEST (INDIA) LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.loanmax&hl=en_IN,Listed,Verified,Pending,
Lendingkart: Business Loan App,Lendingkart Technologies private limited,KISETSU SAISON FINANCE (INDIA) PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.LendingKart,Listed,Verified,Pending,
PNB Digi Suryaghar,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Google Play Store,https://digisuryaghar.pnb.in/,Listed,Verified,Pending,
KREDBHARAT,TWOMINUTES FINTECH PRIVATE LIMITED,A.G.F. FINLEASE (INDIA) LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.twominutesfintech,Listed,Verified,Pending,
SLiQ App,Valuenable Pvt. Ltd.,BAJAJ FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.valuenable.las,Listed,Verified,Pending,
LOAN TAP,LoanTap Financial Technologies Private Limited,HINDON MERCANTILE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.loantap.app&hl=en_IN,Listed,Verified,Pending,
Cashvia,GROW MONEY CAPITAL PVT LTD (FORMERLY ECLEAR LEASING & FINANCE PVT LTD),GROW MONEY CAPITAL PVT LTD (FORMERLY ECLEAR LEASING & FINANCE PVT LTD),Google Play Store,https://play.google.com/store/apps/details?id=com.cashvia,Listed,Verified,Pending,
GoCredit,Vijayalakshmi Technology Infinity NKB Private Limited,CHHOTARIA SECURITIES PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=money.gocredit.ai,Listed,Verified,Pending,
Khatabook,ADJ Utility Apps Private Limited,AMICA FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.vaibhavkalpe.android.khatabook&pcampaignid=web_share,Listed,Verified,Pending,
ACHIIEVERS QUICK GOLD LOAN,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,ACHIIEVERS FINANCE INDIA PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.dimensions.liveloancustomerafil,Listed,Verified,Pending,
Pice,Nanosecond Technologies Private Limited,GROMOR FINANCE PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=one.pice.pice_business_loan,Listed,Verified,Pending,
PaisaBazaar Application,Paisabazaar Marketing & Consulting Private Limited,FEDERAL BANK LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.paisabazaar,Listed,Verified,Pending,
Airtel App,Xtelify Limited,AIRTEL MONEY LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.myairtelapp&hl=en_IN&gl=US,Listed,Verified,Pending,
Liquify App,Sumanju Technologies Pvt. Ltd.,BAJAJ FINANCE LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.liquify,Listed,Verified,Pending,
FriendLoan: Business Loan App,SAMPATHI CREDITS PRIVATE LIMITED,SAMPATHI CREDITS PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.fl.ul.lead,Listed,Verified,Pending,
EmergencyPaisa,Suburban Finance & Investment Private Limited,SUBURBAN FINANCE & INVESTMENT PVT.LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.suburban.emergency_paisa&hl=en_IN,Listed,Verified,Pending,
SalaryMantra,Delviant AI Labs Private Limited,BAGMANE TRADERS (P) LTD,Google Play Store,https://play.google.com/store/apps/details?id=com.salarymantra.app,Listed,Verified,Pending,
Parkplus ( via Upswing),Parviom Technologies Private Limited (through LSP - Upswing Financial Technologies Private Limited),DMI FINANCE PVT LTD.,Google Play Store,https://886bc.app.link/3YdXY305ilb?_p=c11029cb9f1c65f5e0038cfce8,Listed,Verified,Pending,
Loantap - Personal Loan App,LoanTap Financial Technologies Pvt. Ltd. (LSP on behalf of I-LOAN CREDIT PRIVATE LIMITED – NBFC),I-LOAN CREDIT PRIVATE LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=in.loantap.app,Listed,Verified,Pending,
LOANZO,FINALOP TRADE LINKS SOLUTIONS PRIVATE LIMITED,NARAINSONS INVESTMENTS FINANCE & CONSULTANCY PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.finlop.loanzo,Listed,Verified,Pending,
PaisaCash-Personal Credit,NAPEAN FINVEST PVT. LTD.,NAPEAN FINVEST PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.paisacash.loan,Listed,Verified,Pending,
Mobile Banking,My Card Solutions Pvt Ltd,"EXCELLENT CO-OP.BANK LTD., MUMBAI",Google Play Store,Play Store - Excellent Co-op Bank Ltd,Listed,Verified,Pending,
Finshell Pay,Growhiz Technologies Pvt Ltd,EARLYSALARY SERVICES PRIVATE LIMITED (OLD NAME ASHISH SECURITIES PVT. LTD.),Google Play Store,https://play.google.com/store/search?q=finshell&c=apps&hl=en,Listed,Verified,Pending,
Credit Mines,MAHAN INDUSTRIES LIMITED,MAHAN INDUSTRIES LIMITED,Google Play Store,https://play.google.com/store/apps/details?id=com.creditmines&pcampaignid=web_share,Listed,Verified,Pending,
Titan Fincorp,Vimanotech India Private Limited,AVINASH CAPITAL MARKETS PVT. LTD.,Google Play Store,https://play.google.com/store/apps/details?id=com.vimanotech.titanfincorp,Listed,Verified,Pending,
IRIS,YES BANK LTD.,YES BANK LTD.,Apple App Store,https://apps.apple.com/in/app/iris-by-yes-bank-mobile-app/id1575064171,Listed,Verified,Pending,
Flexipayment,Value Growth Fintech Solutions Private Limited,UGRO CAPITAL LIMITED (PREVIOUSLY CHOKHANI SECURITIES LIMITED),Website,https://app.flexipayment.in/scf,Listed,Verified,Pending,
YES Race,YES BANK LTD.,YES BANK LTD.,Website,https://www.yes.bank.in/yes-bank-loans/loan-in-seconds,Listed,Verified,Pending,
DigitMoney,DigitMoney Technologies Private Limited,DMI FINANCE PVT LTD.,Website,https://digitmoney.in/,Listed,Verified,Pending,
"INDmoney: Stocks, Mutual funds",FINZOOMERS SERVICES PRIVATE LIMITED,DSP FINANCE PRIVATE LIMITED,"Appstore - INDmoney: Stocks, Mutual Fund",https://apps.apple.com/in/app/indmoney-stocks-mutual-fund/id1450178837,Listed,Verified,Pending,
Pre Approved Personal Loan,PUNJAB NATIONAL BANK,PUNJAB NATIONAL BANK,Internet Banking Service,https://instaloans.pnb.bank.in/personal-loan/verify-customer#!,Listed,Verified,Pending,
Rupee Raftar,NAMAN FINLEASE PVT. LTD.,NAMAN FINLEASE PVT. LTD.,Website,https://rupeeraftaar.com/,Listed,Verified,Pending,
CreditMitra,Samcint Solutins Private Limited,SAJAN INTERNATIONAL P LTD.,Apple App Store,To be made available once it is live in App store,Listed,Verified,Pending,
BFL Website,BAJAJ FINANCE LTD.,BAJAJ FINANCE LTD.,Website,www.bajajfinserv.in,Listed,Verified,Pending,
Expessoloan,Fintech Cloud Private Limited,HARVINDER FINANCE COMPANY PRIVATE LIMITED,Website,https://expressoloan.com/,Listed,Verified,Pending,
Edufin,Advansure tech Pvt Ltd* (No fresh sourcing from LSP arrangement),AVANSE FINANCIAL SERVICES LTD,Website,https://www.edufin.in,Listed,Verified,Pending,
E-Platform,BANK OF INDIA,BANK OF INDIA,Website,https://staraks.bankofindia.bank.in,Listed,Verified,Pending,
Loan Doc,Nexupport Services Private Limited,SALORA CAPITAL LTD.,Website,https://www.loandock.co.in/,Listed,Verified,Pending,
"Fibe Quick, Easy Personal Loan",Social Worth Technologies Ltd,NORTHERN ARC CAPITAL LIMITED,Apple App Store,Fibe Instant Personal Loan App on the??App Store?,Listed,Verified,Pending,
KreditBee - Instant Personal Loan Online,Finnovation Tech Solutions Private Limited,NORTHERN ARC CAPITAL LIMITED,Xiaomi Global App,https://global.app.mi.com/details?lo=IN&la=en_US&id=com.kreditbee.android,Listed,Verified,Pending,
Bank's website,IDBI Bank Ltd,IDBI BANK LIMITED,Website,www.idbibank.in/personal-loan.aspx,Listed,Verified,Pending,
IndiaLends - Instant Loan App,GC Web Ventures Private Limited,L&T FINANCE LIMITED (FORMERLY L&T FINANCE HOLDINGS LIMITED),Apple App Store,https://apps.apple.com/us/app/indialends-instant-loan-app/id1163514601,Listed,Verified,Pending,
PaapaPay,Tempora Mutantur Private Limited,SIDDHI TRADERS (P) LTD,Website,https://paapapay.in,Listed,Verified,Pending,
PennyDrop,SHANKAR FININVEST (P) LTD.,SHANKAR FININVEST (P) LTD.,Website,www.pennydrop.in,Listed,Verified,Pending,
Navi Finserv Limited,Navi Finserv Limited,IDFC FIRST BANK LIMITED,Website,http://navi.com/pl,Listed,Verified,Pending,
Leo 1,Gajju Technologies Private Limited* (No fresh sourcing from LSP arrangement),AVANSE FINANCIAL SERVICES LTD,Website,https://www.leo1.in,Listed,Verified,Pending,
Salary Setu,AMPIRE FINANCE PRIVATE LIMITED (EARLIER KNOWN AS MAULESH INVESTMENTS PRIVATE LIMITED),AMPIRE FINANCE PRIVATE LIMITED (EARLIER KNOWN AS MAULESH INVESTMENTS PRIVATE LIMITED),Website,https://salarysetu.com/,Listed,Verified,Pending,
Truepay,JAIN FINSCAP PRIVATE LIMITED,JAIN FINSCAP PRIVATE LIMITED,Website,https://jain-fintech-assets.s3.us-east-1.amazonaws.com/Application/Truepay.apk,Listed,Verified,Pending,
"Smallcase: Stocks, MFs, FDs App",Essential Investment Managers Pvt. Ltd.,BAJAJ FINANCE LTD.,Apple App Store,https://apps.apple.com/in/app/smallcase-stocks-mfs-fds/id1345309437,Listed,Verified,Pending,
Monedo Financial Services Private Limited,Monedo Financial services private Limited,MONEDO FINANCIAL SERVICES PRIVATE LIMITED (FORMERLY KREDITECH FINANCIAL SERVICES P LTD),Originates on LOS through assisted journey,not.applicable,Listed,Verified,Pending,
Fast Paisa,AMPIRE FINANCE PRIVATE LIMITED( FORMERLY KNOWN AS MAULESH INVESTMENT PRIVATE LTD),AMPIRE FINANCE PRIVATE LIMITED( FORMERLY KNOWN AS MAULESH INVESTMENT PRIVATE LTD),Website,https://fastpaise.in/,Listed,Verified,Pending,
Bitrocket by CheQ,Bitrocket Labs Private Limited,AXIS BANK LIMITED,Website,https://cheq.onelink.me/3UIC/kqzbhgy0,Listed,Verified,Pending,
Myinstafunds,B.P. SECURITIES (INDIA) PVT. LTD.,B.P. SECURITIES (INDIA) PVT. LTD.,Website,https://www.myinstafunds.com/,Listed,Verified,Pending,
Aspire Fintech Private Limited (Web based paltform),Aspire Fintech Private Limited,AVANTI FINANCE PRIVATE LIMITED,Website,apply.letsaspire.in,Listed,Verified,Pending,
Jodo?,Bharosepe Technology Services Pvt Ltd.* (No fresh sourcing from LSP arrangement),AVANSE FINANCIAL SERVICES LTD,Website,https://www.jodo.in,Listed,Verified,Pending,
Credfin: Instant Personal Loans,Credfin Services Private Limited,ARHAM FINANCE & INVESTMENT SERVICES LTD.,https://credfin.money/,https://play.google.com/store/apps/details?id=com.credfin.money,Listed,Verified,Pending,
